mix_id;audio_file;center_time;time_mmss;quality_profile;expected_quality_label;human_rating;comment;crossfade_curve;key_compatibility_camelot_distance
synth_000038;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000038.wav;251.8;4:12;off_phrase;3;;;s_curve;4
synth_000134;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000134.wav;1180.0;19:40;train_wreck;1;;;linear;5
synth_000088;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000088.wav;712.7;11:53;key_clash;2;;;equal_power;4
synth_000100;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000100.wav;399.1;6:39;train_wreck;1;;;s_curve;4
synth_000023;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000023.wav;254.0;4:14;off_beat;3;;;s_curve;1
synth_000083;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000083.wav;1114.7;18:35;key_clash;2;;;equal_power;3
synth_000060;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000060.wav;739.5;12:20;off_phrase;2;;;linear;4
synth_000161;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000161.wav;972.2;16:12;abrupt;2;;;linear;3
synth_000078;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000078.wav;496.6;8:17;off_phrase;2;;;linear;4
synth_000034;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000034.wav;461.2;7:41;key_clash;1;;;s_curve;5
synth_000080;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000080.wav;498.7;8:19;clean;5;;;equal_power;1
synth_000098;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000098.wav;255.0;4:15;off_beat;2;;;equal_power;6
synth_000149;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000149.wav;552.3;9:12;abrupt;2;;;linear;1
synth_000060;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000060.wav;249.5;4:09;off_beat;2;;;exponential;2
synth_000112;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000112.wav;511.1;8:31;clean;5;;;s_curve;1
synth_000101;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000101.wav;456.3;7:36;off_phrase;3;;;s_curve;0
synth_000057;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000057.wav;497.9;8:18;clean;5;;;equal_power;0
synth_000099;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000099.wav;219.2;3:39;clean;5;;;s_curve;1
synth_000106;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000106.wav;448.3;7:28;abrupt;2;;;linear;3
synth_000074;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000074.wav;227.8;3:48;key_clash;2;;;equal_power;3
synth_000137;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000137.wav;636.1;10:36;clean;5;;;equal_power;1
synth_000150;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000150.wav;243.0;4:03;key_clash;2;;;s_curve;3
synth_000175;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000175.wav;749.5;12:29;off_beat;3;;;exponential;2
synth_000086;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000086.wav;732.1;12:12;off_phrase;3;;;equal_power;4
synth_000159;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000159.wav;959.5;16:00;abrupt;2;;;linear;3
synth_000151;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000151.wav;255.8;4:16;train_wreck;1;;;s_curve;4
synth_000021;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000021.wav;716.3;11:56;train_wreck;1;;;equal_power;4
synth_000144;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000144.wav;249.5;4:10;off_beat;3;;;s_curve;0
synth_000164;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000164.wav;727.5;12:08;train_wreck;1;;;linear;4
synth_000021;C:\Projekte\Projekte\MixCoach\audio-engine\mixcoach-audio-engine\datasets\synthetic\v1\mixes\synth_000021.wav;272.1;4:32;abrupt;2;;;linear;3
